DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
100,1,96,16529165,e20051397201015918904e51,2,3,0.500
110,1,80,11287565,e20051397201015918904e51,1,3,1.000
120,1,21,5519885,e20051397201015918904e51,1,3,1.000
130,0,0,0,e20051397201015918904e51,5,3,0.000
140,0,0,0,e20051397201015918904e51,5,3,0.000
150,1,38,11287565,e20051397201015918904e51,5,3,0.200
160,0,0,0,e20051397201015918904e51,5,3,0.000
170,0,0,0,e20051397201015918904e51,5,3,0.000
180,0,0,0,e20051397201015918904e51,5,3,0.000
190,0,0,0,e20051397201015918904e51,5,3,0.000
200,0,0,0,e20051397201015918904e51,5,3,0.000
10,1,207,5519885,e20051397201015918904e51,1,4,1.000
20,1,190,10761485,e20051397201015918904e51,1,4,1.000
30,1,188,16529165,e20051397201015918904e51,1,4,1.000
40,1,176,11287565,e20051397201015918904e51,1,4,1.000
50,1,177,5519885,e20051397201015918904e51,1,4,1.000
60,1,145,10761485,e20051397201015918904e51,1,4,1.000
70,1,57,16529165,e20051397201015918904e51,1,4,1.000
80,1,40,11287565,e20051397201015918904e51,1,4,1.000
90,1,71,5519885,e20051397201015918904e51,1,4,1.000
100,1,112,10761485,e20051397201015918904e51,1,4,1.000
110,1,112,16529165,e20051397201015918904e51,2,4,0.500
120,1,96,11287565,e20051397201015918904e51,2,4,0.500
130,0,0,0,e20051397201015918904e51,5,4,0.000
140,1,53,10761485,e20051397201015918904e51,2,4,0.500
150,1,37,16529165,e20051397201015918904e51,2,4,0.500
160,0,0,0,e20051397201015918904e51,5,4,0.000
170,0,0,0,e20051397201015918904e51,5,4,0.000
180,0,0,0,e20051397201015918904e51,5,4,0.000
190,0,0,0,e20051397201015918904e51,5,4,0.000
200,0,0,0,e20051397201015918904e51,5,4,0.000
10,1,222,5519885,e20051397201015918904e51,1,5,1.000
20,1,205,10761485,e20051397201015918904e51,1,5,1.000
30,1,196,16529165,e20051397201015918904e51,1,5,1.000
40,1,178,11287565,e20051397201015918904e51,1,5,1.000
